                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.71267,                0.37406,                 1.0958,                 0.9798,                0.98113,                0.98313,                0.75666,                0.89799,                0.38069,                 1.3439,              0.0002378,              0.0002378,              0.0002378
                     91,                0.65269,                0.33797,                 1.0557,                0.97973,                0.98113,                0.98339,                0.74015,                0.90304,                0.38255,                 1.3676,               0.000218,               0.000218,               0.000218
                     92,                0.63732,                0.32402,                 1.0615,                0.97971,                0.98113,                0.98346,                0.75305,                0.88626,                0.36971,                  1.349,              0.0001982,              0.0001982,              0.0001982
                     93,                0.66139,                0.35192,                 1.0807,                 0.9797,                0.98113,                 0.9838,                 0.7662,                0.87712,                0.36302,                 1.3374,              0.0001784,              0.0001784,              0.0001784
                     94,                0.62589,                0.32963,                 1.0469,                0.97974,                0.98113,                0.98323,                0.76236,                0.88709,                0.38376,                 1.3433,              0.0001586,              0.0001586,              0.0001586
                     95,                0.64824,                0.33321,                 1.0722,                0.98023,                0.98113,                0.98397,                0.75667,                0.89112,                0.38809,                 1.3525,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.6539,                0.33336,                 1.0706,                 0.9811,                0.97969,                0.98375,                0.76274,                0.88743,                0.38765,                 1.3496,               0.000119,               0.000119,               0.000119
                     97,                0.64696,                0.34103,                 1.0713,                0.98109,                0.97881,                0.98384,                0.76984,                0.88737,                  0.382,                 1.3452,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.6596,                 0.3298,                 1.0824,                 0.9811,                0.97923,                0.98471,                 0.7626,                0.88261,                0.37515,                 1.3375,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.64613,                0.32511,                 1.0547,                0.98112,                0.98047,                0.98395,                  0.761,                0.88051,                0.37338,                 1.3421,               5.96e-05,               5.96e-05,               5.96e-05
